"station_id","obsTime","ELEV","WDIR","WDSD","TEMP","HUMD","PRES","SUN","H_24R","H_FX","H_XD","H_FXT","D_TX","D_TXT","D_TN","D_TNT"
"C0Z150","2019-07-26 00:00:00","27.000","0.000","0.000","27.900","0.840","1006.200","-99.000","0.000","-99.000","-99.000","-99.000","30.500","","26.300",""
"C0W170","2019-07-26 00:00:00","42.000","172.000","2.300","26.800","0.930","1000.600","-99.000","0.000","7.600","160.000","","29.900","","26.700",""
"C0E540","2019-07-26 00:00:00","32.000","222.000","1.500","27.900","0.850","1004.000","-99.000","0.000","-99.000","-99.000","-99.000","32.700","","25.900",""
"C0D660","2019-07-26 00:00:00","65.000","191.000","1.500","28.100","0.800","1000.300","-99.000","0.000","-99.000","-99.000","-99.000","31.600","","26.500",""
"C0U650","2019-07-26 00:00:00","442.000","281.000","0.900","24.700","0.990","959.900","-99.000","0.000","-99.000","-99.000","-99.000","31.500","","24.200",""
"C0G810","2019-07-26 00:00:00","26.000","170.000","0.500","29.700","0.830","1004.200","-99.000","0.000","-99.000","-99.000","-99.000","33.700","","27.100",""
"C0F9Z0","2019-07-26 00:00:00","3193.000","189.000","2.400","10.500","0.940","698.000","-99.000","0.000","-99.000","-99.000","-99.000","15.700","","10.300",""
"C0M410","2019-07-26 00:00:00","245.000","356.000","1.000","24.800","1.000","977.500","-99.000","0.000","-99.000","-99.000","-99.000","33.900","","23.100",""
"C0I410","2019-07-26 00:00:00","180.000","218.000","0.700","26.800","0.900","987.800","-99.000","0.000","-99.000","-99.000","-99.000","33.200","","24.400",""
"C0K250","2019-07-26 00:00:00","12.000","197.000","0.800","26.500","0.950","1006.800","-99.000","0.000","-99.000","-99.000","-99.000","34.000","","24.800",""
"C0AH80","2019-07-26 00:00:00","68.000","0.000","0.000","26.000","0.960","999.800","-99.000","0.500","-99.000","-99.000","-99.000","33.900","","24.700",""
"C0V640","2019-07-26 00:00:00","35.000","168.000","0.400","30.400","0.790","1004.500","-99.000","0.000","-99.000","-99.000","-99.000","32.000","","26.400",""
"C0S920","2019-07-26 00:00:00","98.000","0.000","0.200","26.900","0.860","992.600","-99.000","0.000","-99.000","-99.000","-99.000","33.300","","24.800",""
"C0S830","2019-07-26 00:00:00","288.000","341.000","1.300","25.800","0.940","977.800","-99.000","0.000","-99.000","-99.000","-99.000","35.300","","25.600",""
"C0V800","2019-07-26 00:00:00","256.000","0.000","0.000","26.100","0.910","978.400","-99.000","0.000","-99.000","-99.000","-99.000","33.700","","23.900",""
"C0R140","2019-07-26 00:00:00","740.000","0.000","0.000","22.900","0.880","930.600","-99.000","1.500","-99.000","-99.000","-99.000","28.200","","21.400",""
"C0K410","2019-07-26 00:00:00","20.000","189.000","1.500","28.100","0.870","1004.900","-99.000","0.000","-99.000","-99.000","-99.000","32.600","","26.700",""
"C0F000","2019-07-26 00:00:00","273.000","0.000","0.200","26.200","1.000","976.300","-99.000","0.000","-99.000","-99.000","-99.000","31.400","","24.600",""
"C0W150","2019-07-26 00:00:00","42.000","245.000","2.700","28.200","0.970","1003.200","-99.000","0.000","-99.000","-99.000","-99.000","32.200","","27.500",""
"C0AH90","2019-07-26 00:00:00","660.000","0.000","0.000","21.700","0.990","938.600","-99.000","3.000","-99.000","-99.000","-99.000","30.500","","21.000",""
"C0F9K0","2019-07-26 00:00:00","30.000","169.000","2.100","28.600","0.810","1002.800","-99.000","0.000","-99.000","-99.000","-99.000","31.500","","27.400",""
"C0H990","2019-07-26 00:00:00","3076.000","16.000","0.300","10.300","0.840","707.600","-99.000","0.000","-99.000","-99.000","-99.000","15.800","","10.100",""
"C0V260","2019-07-26 00:00:00","126.000","74.000","0.800","26.900","0.920","994.800","-99.000","0.000","-99.000","-99.000","-99.000","35.500","","25.000",""
"C0S970","2019-07-26 00:00:00","19.000","302.000","2.400","27.200","0.840","1005.900","-99.000","0.000","-99.000","-99.000","-99.000","30.800","","26.100",""
"C0U940","2019-07-26 00:00:00","25.000","214.000","0.700","27.100","0.940","1006.300","-99.000","0.000","-99.000","-99.000","-99.000","34.300","","25.900",""
"C0A860","2019-07-26 00:00:00","362.000","0.000","0.100","25.700","0.900","967.600","-99.000","0.000","-99.000","-99.000","-99.000","32.400","","24.000",""
"C0I480","2019-07-26 00:00:00","2165.000","0.000","0.000","14.700","0.990","789.000","-99.000","0.000","-99.000","-99.000","-99.000","21.300","","13.600",""
"CM0150","2019-07-26 00:00:00","11.000","342.000","0.900","28.300","0.790","1007.000","-99.000","0.000","-99.000","-99.000","-99.000","32.000","","26.000",""
"C0X080","2019-07-26 00:00:00","2.000","191.000","0.500","28.000","0.950","1007.900","-99.000","0.000","-99.000","-99.000","-99.000","33.900","","26.100",""
"C0AH00","2019-07-26 00:00:00","38.000","0.000","0.000","27.700","0.980","1003.200","-99.000","0.000","-99.000","-99.000","-99.000","33.800","","26.300",""
"C0V700","2019-07-26 00:00:00","24.000","275.000","1.300","-99.000","-99.000","1004.800","-99.000","0.000","-99.000","-99.000","-99.000","-999.000","","-999.000",""
"C0AD00","2019-07-26 00:00:00","86.000","208.000","1.100","27.000","0.990","998.500","-99.000","0.000","-99.000","-99.000","-99.000","31.500","","26.600",""
"C0O900","2019-07-26 00:00:00","9.000","138.000","1.100","27.700","0.990","1007.500","-99.000","0.000","-99.000","-99.000","-99.000","33.400","","26.100",""
"C0R570","2019-07-26 00:00:00","37.000","0.000","0.000","27.500","0.870","1003.400","-99.000","0.000","-99.000","-99.000","-99.000","33.000","","26.000",""
"C0V760","2019-07-26 00:00:00","30.000","81.000","0.500","29.100","0.830","1005.700","-99.000","0.000","-99.000","-99.000","-99.000","33.500","","26.400",""
"C0T9I0","2019-07-26 00:00:00","152.000","215.000","0.900","25.300","0.920","992.700","-99.000","0.000","-99.000","-99.000","-99.000","30.700","","25.100",""
"C0O980","2019-07-26 00:00:00","18.000","157.000","0.600","27.300","0.950","1007.200","-99.000","0.000","-99.000","-99.000","-99.000","33.900","","25.300",""
"C0R270","2019-07-26 00:00:00","51.000","300.000","0.700","26.600","0.990","1001.500","-99.000","0.000","-99.000","-99.000","-99.000","32.800","","25.600",""
"C0T9H0","2019-07-26 00:00:00","725.000","218.000","0.900","23.200","0.990","930.300","-99.000","0.000","-99.000","-99.000","-99.000","30.400","","22.800",""
"C0A660","2019-07-26 00:00:00","97.000","0.000","0.000","26.400","1.000","996.300","-99.000","0.000","-99.000","-99.000","-99.000","32.700","","25.200",""
"C0A890","2019-07-26 00:00:00","40.000","0.000","0.200","25.200","0.990","1002.600","-99.000","0.500","-99.000","-99.000","-99.000","33.900","","25.000",""
"C0O840","2019-07-26 00:00:00","134.000","162.000","1.700","27.200","1.000","992.100","-99.000","0.000","-99.000","-99.000","-99.000","31.700","","25.300",""
"C0R530","2019-07-26 00:00:00","16.000","90.000","1.000","28.300","0.950","1006.200","-99.000","0.000","-99.000","-99.000","-99.000","30.600","","26.600",""
"C0G870","2019-07-26 00:00:00","12.000","196.000","0.900","27.800","0.940","1007.300","-99.000","0.000","-99.000","-99.000","-99.000","34.400","","26.000",""
"C0M820","2019-07-26 00:00:00","980.000","0.000","0.000","21.100","0.950","903.800","-99.000","10.000","-99.000","-99.000","-99.000","27.200","","19.100",""
"C0F9S0","2019-07-26 00:00:00","43.000","177.000","1.000","29.000","0.820","1003.200","-99.000","0.000","-99.000","-99.000","-99.000","33.300","","26.400",""
"C0R160","2019-07-26 00:00:00","45.000","0.000","0.000","26.800","0.990","1002.700","-99.000","0.000","-99.000","-99.000","-99.000","33.600","","25.000",""
"C0A950","2019-07-26 00:00:00","60.000","143.000","0.800","28.400","0.840","1001.200","-99.000","0.000","-99.000","-99.000","-99.000","33.500","","27.500",""
"C0R550","2019-07-26 00:00:00","38.000","0.000","0.000","26.700","0.970","1004.700","-99.000","0.000","-99.000","-99.000","-99.000","33.000","","25.400",""
"C0V530","2019-07-26 00:00:00","34.000","0.000","0.000","28.500","1.000","1004.200","-99.000","0.000","-99.000","-99.000","-99.000","32.900","","26.100",""
"C0F9U0","2019-07-26 00:00:00","74.000","108.000","1.000","29.500","0.800","999.500","-99.000","0.000","-99.000","-99.000","-99.000","33.600","","26.900",""
